INFO:2026-05-07 18:17:36,092: [RANK 0] Epoch [2/200], Step [30/118], Mel Loss: 0.49333, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:19:35,423: [RANK 0] Epoch [2/200], Step [40/118], Mel Loss: 0.49297, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:21:25,532: [RANK 0] Epoch [2/200], Step [50/118], Mel Loss: 0.51334, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:23:06,147: [RANK 0] Epoch [2/200], Step [60/118], Mel Loss: 0.49352, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:24:55,153: [RANK 0] Epoch [2/200], Step [70/118], Mel Loss: 0.48141, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:26:43,543: [RANK 0] Epoch [2/200], Step [80/118], Mel Loss: 0.47343, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:28:50,015: [RANK 0] Epoch [2/200], Step [90/118], Mel Loss: 0.49460, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:31:08,255: [RANK 0] Epoch [2/200], Step [100/118], Mel Loss: 0.47241, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:33:15,402: [RANK 0] Epoch [2/200], Step [110/118], Mel Loss: 0.45757, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2026-05-07 18:36:42,770: [RANK 0] Validation loss: 0.464




